,제목,내용
877,??? : 친구한테 80만원을 빌렸는데,"  ???
    "
878,매드맥스가 신기한 영화인 이유.gif,"     
        평론가 평 대박
                  일반관객 평 대박
        모두의 평가가 대박이었던 영화
  사방에서 입소문도 잘 타고 유행어도 수두룩하게 만들어냄. 
                             
      그리고 극장 수익으로 손익 분기점 못 넘음
                                 
  ?
      "
879,외국인이 한국에서 길 물어볼때 가장 의아해했던점.JPG,"외국인 : 영어 할 줄 아세요?

??? : 아뇨 영어 못해요

외국인 : (날 놀리나?) "
880,뷔페에 갓을때 바람직한 행동,                                                              
881,주차를 개같이 해놓은 운전자,"          끄덕끄덕
  "
882,호불호 갈리는 대만 음식　jpg,                             
883,대전 극딜하는 일본인,    
884,자작나무 숲에서 길 잃어도 안전한 이유,"              무수한 시선이 지켜봐주고 있을테니 안전할거임ㅎㅎ
...아마도...
    "
885,안녕하세요 역대급 게스트.JPG,"             
   
                                  와 근데 제보자분 김수현 닮으셨다 ㄷㄷ
  사실 진짜 김수현이고

해당장면은 드라마 <프로듀사>의 한 장면임 "
886,트레버가 설명하는 미국적 가치.jpg,"  ㅋㅋㅋㅋ
의외로 PC적인 트레버
  "
887,세종이 즐겨드신 조선식 프라이드 치킨.JPG,"가끔씩 조선시대에 치킨을 퍼뜨려 사람들을

감동시킨다는 대체역사소설 같은게 있었는데

이미 그때 닭요리 다 해먹고 있었지 "
888,샤워하는데 1시간 12분 걸린다는 친구　jpg,"        마음 먹는 시간은 ㅇㅈ이지
  "
889,한국에 있는 위대한 항로 실사판,"    바로 백두산에 있는
  압록강,두만강,송화강
  백두산같이 엄청 높은 레드라인을 넘어가야 황해,동해,오호츠크해로 갈 수 있음 ㅋㅋ
    "
890,사각팬으로 뒤집는건 절대 안돼유,          
891,4딸라좌 인성논란ㄷㄷㄷ.jpg,    
892,김가연이 통장 비밀번호를 공유한 이유,    
893,배틀필드) 이번에나오는 한국맵의 실제 지리는 어떨까?," 
이번 배틀필드 신작의 신맵 칼레이도 스코프의 위치는 인천 송도이고 정확히는 송도 센트럴파크가 모티브인것으로 보임
    실제 송도 센트럴파크의 전경은 대충 이러하다
    현실에서 센트럴파크 한가운데에 서있는 타워와 동그라미친 인겜 오브젝트의 모티브가된 건물은......
 
      위치상 실제로 송도의 랜드마크중 하나인 송도 포스코 타워로 추정된다
  인게임에서 차지해야하는 목표인 인터넷 허브, 터미널 센터가 여기있을 확률이 매우높음
  상하이처럼 맵 기믹이될수도 있고
  참고로 맵 크기는 64인 가장 작은 사이즈라고함 "
894,고등어 손질 장인 고등학생.gif,"                          저 찰진 손맛 !
          "
895,KPOP 리액션이 흥하는 이유,원본출처 | https://youtu.be/7pGQoNqX2AA 
896,헬스장에서 젤 ㅄ같은 새끼.txt,"    그랬구나..
  막줄때문에 화가난거였구나..
    "
897,FPS 게임 팀원이 보낸 극찬 메시지, 
898,패션 디자이너가 일반인 남성들을 변신시켜 보았다,원본출처 | https://www.gq.com/gallery/project-upgrade-tom-ford-makeover 
899,하루만에 7만원으로 10억을 번 사람들,    
900,현재 신장개업한 어느 가게,"             임대료의 압박으로
다소 외곽에 지어짐
    하라주쿠다
  "
901,다짜고짜 정차하고 신분증 제시하라는 경찰,원본출처 | https://youtu.be/PXTy_JIssPg 
902,악플러들 때문에 빡친 박지성 와이프 김민지,"      박지성 부부는 현재 런던에 거주해서 유상철 조문을 못가는데
  그거 가지고 악플러들이 와이프인 김민지 유튜브 채널에 악플 달음
    추가
    ㅄ같은 논란때문에 이걸 해명까지 해야함
        "
903,단기알바 지원자 단톡방 내용 ㅋㅋㅋㅋㅋ.jpg,               수환좌... 
904,완벽한 가축화가 이뤄진 짐승.jpg,    
905,출시된 지 10년이나 지났지만 아직도 훌륭한 모범사례로 남은 게임,"                   
판타지 세계관이랍시고 고유명사 남발하면 안 된다는 걸 직접 보여줌 "
906,엘론 머스크 트윗 근황,원본출처 | https://mobile.twitter.com/elonmusk 
907,강력한 마검을 주운 주인공의 만행 JPG,"                                                        인생은 실전이야 ↗만아
      천방지축 모험왕 中
  현재까지 애니메이션 주인공에서 손꼽히는 막장 인성을 가지고 있다고 한다. "
908,별 문제 없을거라 생각했던 이름 변경.JPG,"  이 역의 원래 이름은 용원역.
  1981년에 이름을 신창원역으로 바꿀 때만 해도 별일 없을거라 생각했다... "
909,이경규 40년 롱런의 비결.JPG,"  ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
    "
910,국내 최연소 사형수....,"      대구 교도소에서 사형수로 밥처먹고 살고있음...
    "
911,개쩌는 번호판의 소유자,"  ??? 흔해 빠진 번호 아닌가???
                "
912,혐주의) 올해의 베스트 스릴러 짤.gif, 
913,내가 퇴물이라고 욕하는 연예인이 내 뒤에 있다면? _ jpg,원본출처 | https://youtu.be/DZBVRpB2FCc 
914,일본어인데 전부 읽을 수 있는 신기한 만화.manhwa,    
915,버튜버) 원신을 200% 즐기는 여자,원본출처 | https://www.youtube.com/channel/UCV5ZZlLjk5MKGg3L0n0vbzw 
916,원신 짭 게임 등장,원본출처 | https://twitter.com/ZhugeEX/status/1400427507288002562 
917,당신은 자존심을 돈받고 팔겠습니까?,"      구두 양쪽 다 핥으면 6억주시나요? 헥헥
    "
918,"끈나시·핫팬츠 입은 노출남 활보"" 창원 발칵..이유 묻자",원본출처 | https://news.v.daum.net/v/20210610161557243 
919,140% 한글 패치,  개져아 
920,인서울대학 가고싶다는 동생 vs 형편때문에 안된다는 가족,"    공부하면 빚내서라도 공부시켜주겠다고 동기부여시킨 시점에서 동생쪽 압승
  "
921,광기 가득한 카카오 반팔티,                                
922,기업 컴퓨터 유지보수 직원으로 입사한 컴갤럼,"   역시 기술자는 다르네
  "
923,한강) 변호사 : 난 왜 시.발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"      지.랄 났네 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
    "
924,아빠가 내몸 만졌어.jpg,"       
  "
925,돼공....짬처리.jpg,        
926,10분넘게 지각한 당근마켓 판매자.jpg,    
927,bts세트에 멘탈터진 맥날 알바들.jpg,"  4주 일평균 대비 너겟 판매량 283%로 급증함
        멘탈 씨게 터져나가는 알바들
        그리고 이번주 맥도날드 어플 쿠폰
핫하 죽어라
  "
928,최근에 터진 성매매 단속현장,"         
              진짜 어메이징하다... 이 시국에 "
929,그알) 한강사건 오늘자 명짤,"      유튜브가 대한민국을 지키고 있어요!
  "
930,아 손놈이 팁안주고 낙서한 종이나 찢어 줌,"고마워요! 갓님!
  "
931,죽기 전에 담배 한대 피고 가겠다는 일병,원본출처 | https://www.youtube.com/watch?v=a6eP3_Wg0PA 
932,정형돈이 아파서 하차한다고 했을때 태극권 쓰던 네티즌,"  극성팬들 돌려까기
  "
933,아들 가진 부모들이 긴장하는 시간,"    드디어.... 올것이 왓군... 
  "
934,논란중인 파워퍼프걸 대본 유출," 버블:나도 한번 걸레 처럼 살고 싶어 <실제 대사>

버터컵이 레즈비언 과 섹♡ 하다 자매들에게 들키는 장면 존재
 버블:유토니옴 교수 당신을 우릴 카툰 네트워크에 판 노예상 이야 우린그걸 계속 참고 있었어 그리고 원작 애니는 화이트 워싱 이아

현재 제작사인 CW는 위 각본대로 쓰인 파일럿 에피소드를 보고

제작중단을 선언했으며 배우진과 각본진은 그대로 유지하며 새롭게 제작

현재 유출된 대본은 기존 파일럿 에피 대본이며 팬들은 상당히 부정적인 반응이 대다수



출처: 익무
    "
935,나혼자산다 근본 멤버들,    
936,옥주현 인스타 근황,원본출처 | https://www.etoland.co.kr/bbs/board.php?bo_table=etohumor04&wr_id=998306 
937,BMW 1억4천짜리를 2500에 판매(허위매물X),엔진 안 다쳤으면 은근 괜찮은 물건 같기도 하고 ㅋㅋㅋ 
938,진정한 고기 파티.jpg,    
939,프랑스 혁명은 왜 빵에서 시작했는가 이해한 대학생,          
940,영국 총리가 인기 많은 이유,"                                                          군대에 있으면 주임 원사 같고
관저에 있으면 총리 같고
길거리 있으면 부랑자 같고
  ㄹㅇ 다 잘 어울리는 핵인싸임
      "
941,이름값 잘하는 식당 甲.jpg,"              동굴집이라서 안에 동굴있음
    "
942,집에 와서 펑펑 운 군인.jpg,"        (격분)
    "
943,"우리 동네에 ""삼성 상회"" 란 건물 생김ㅋㅋㅋㅋㅋㅋㅋㅋㅋ","    회사 이름이 삼성이 뭐냐ㅋㅋ 할꺼면 오성 정도는 해야지ㅋㅋㅋㅋㅋ
몇년 못가고 그방 사라질듯ㄹㅇㅋㅋ "
944,"Since 1956, 전통의 맛을 추구한 컵라면 출시.jpg",    
945,데뷔 1년 자축하는 7년 전 무명 아이돌.,"  뭐야 요리 개잘해
    "
946,교육부가 꼬꼬마들한테 보급하려는 앱,"                              현질? 그런거 생각할 시간에 문제를 하나 더 풀거라
    "
947,일본 전자기기 매장의 액정 태블릿 판촉 문구.jpg,"  학생 여러분은 액정 태블릿을 사기 전에 그림 연습을 먼저 합시다!
직장인 여러분은 어른의 재력을 발휘합시다!
판태블릿을 가진 여러분은 액정 태블릿이라면 그림실력이 더 좋아질 거라는 환상을 버립시다!! "
948,"""앆!!!! 내 꼬리!!!!!!!!!""","        ""이게!!""
    "
949,공무원 3단 진화.jpg,"          저러다 퇴직하는거임.
  직렬별 케바케가 워낙 심한 직종이라서 잘못 걸리면 알바보다 적게 돈 받으면서 6일 풀 야근 뛰는 경우도 있다함.
  "
950,허준이 말하는 격겜이 메이저가 못 되는 이유..jpg,    
951,거의 한반도에서만 사람들이 2차 가공을 해서 먹는 것으로 유명한 작물.jpg,"바로 도토리인데, 미국이나 유럽을 비롯한 서구권 국가들은 이 도토리를 식용으로 쓰는 게 아니라 쥐엄 열매와 함께 돼지에게 먹이는 사료로
많이 쓰고 있음. 흔히 한국에서 유명한 음식 중에 하나인 '도토리 묵'으로 가공할 정도로 도토리가 사람이 먹을 음식으로 쓰이는 건 한국 뿐이라고.

미국이나 유럽 같은 서구권 국가들에서는 저 도토리가 돼지들을 통통하게 살찌우는데 그만인 사료라고 하지.
물론 일본도 예전에는 저 도토리를 식용으로 쓰고 있었지만 이제는 점점 아닌 쪽으로 많이 가고 있다고 하니까. "
952,마침내 공개된 스위치 프로,         ㅋㅋ 
953,벤츠 차주도 K5 앞에선 꼼짝 못하더라ㅋㅋㅋㅋㅋㅋ, 
954,후드티가 찐따 패션인 이유,"      내가 자주 입기 때문
  "
955,손흥민은 흉내도 못내는 대한민국의 공격축구,    
956,이쁨받는 마케팅팀 신입.JPG,귀엽네 ㅋㅋ 
957,아픈 엄마에게 밥해달라 투정부린 20살 딸,"철없다고만하기엔
너무 슬픈이야기

                      "
958,요즘 홀로그램 카드 .근황 .GIF,원본출처 | https://wizyakuza.com/ 
959,자기 구해준 굴삭기에 '감사 인사' 전하는 코끼리,          
960,15)성인사이트 AI의 무서움,"  인류는 감시 당하고 있다
  "
961,현대사회 근황.jpg,    
962,좇소기업 특.jpg,"  꼬우면 나가 메타
    "
963,당근마켓 전설의 매너온도 99도 . JPG,    
964,요리계의 어벤져스들.jpg,"   파기름으로 볶기
    양파 넣기
     다진 마늘 넣기
     굴 소스 넣기
      치킨스톡 넣기
  요리가 망했을때 이 5가지를 잘 섞어서 넣으면 못먹을 정도는 아니게됨
  단점 : 모든 요리의 맛이 일정해짐 "
965,15학번 동석선배,    
966,추억의 인하대 유도부 대자보 사진들,"                        아니 제작 과정은 옛날 짤방들엔 없었었는데? ㅋㅋㅋㅋ
    ps : 순 허접들만 모여 있을것만 같은 느낌이지만
부 활동 자체는 진짜 진지하게 유도만 파고든다고 함. "
967,"아빠: 딸, 아빠 먼저 하늘나라로 간다...jpg",    
968,호라이즌 제로던 주인공 근황," 1편때
   어제 공개된 신작에서..
  지나치게 강해진 정치적 올바름!!
  정치적 올바름x1000
    "
969,경기 시작도 전에 상대방의 의지를 꺾어버리는 라커룸,"   
전미 최고의 미식축구 명문대로 손꼽히는 앨라배마 대학교의
  경기장에는 '실패의 방(The Fail Room)'이라는 시설이 있다
 





  바로 앨라배마로 경기하러 오는 원정팀들이 쓰는
원정팀 라커룸의 이름인데
 
                                        놀랍게도 이 이름은
    앨라배마 대학교 동문이자 금융인인 제임스 페일(James M. Fail)의 성을 딴 것이다
 
제임스 페일은 ""내 성을 박기 딱 좋은 곳은 원정팀 라커룸말고는 없겠다는 생각을 오랫동안 해왔다.""라고 말했다
     


싱글벙글

  "
970,메탈 슬러그 근황 .jpg,원본출처 | https://store.steampowered.com/app/1590760/Metal_Slug_Tactics/ 
971,어느 청년이 입대 거부하는 이유,    
972,"더럽게 무능했지만 , 옳은일을 했던 일본군인 . JPG","  도미나가 교지.
  군인으로서 최악의 무능과 보신주의, 무책임을 보여주었지만
일본군이 밥먹듯 자행한 민간인 학살에 참여하지 않은 건 물론
점령지 대민지원에 발벗고 나서고 다른 일본군이 민간인 학살하려는 것까지 적극적으로 막으며 수많은 목숨을 구함.
  "
973,인공호흡을 할려고 하는 여자,    
974,일본인이 한국어 수업에서 쓴 자기소개.jpg,    
975,해외의 중2병 사진 모음,아 너무 무섭다 
976,"“여보, 우리 플스 패스코드가 뭐였지?”.jpg",    빨리 도망가! 
977,케냐 빈민가 출신 격투게임 프로게이머 근황,"  올해로 29살인 브라이언은 케냐 빈민가 출신의
격투게임 프로게이머이다.
      케냐의 키베라는 전세계에서 가장 거대한 빈민가 중 한 곳으로
이 곳에서 자란 브라이언 역시 힘겨운 시간을 보냈건 당연했다.
  그의 아버지는 극심한 알코올중독과 그로 인한 가정폭력이 일상이었고
어릴때 같이 지낸 100여명의 소꿉친구는 범죄로 빠지거나
범죄에 당해 남아 있는건 겨우 10여명 뿐
  브라이언도 자라면서 범죄피해를 당해 세번을 총에 맞고 세번을 칼에 찔렸다
      그런 그가 마음의 위안을 찾은 곳은 게임의 세계였다.
시간당 500원의 PC방을 다니며 처음 만난 온라인의 세계에서
타인과 교류하는 것으로 휴식을 취했다.
      브라이언이 시작한 격투게임인 모탈컴뱃.
  처음에는 빠요엔들에게 패배만을 거듭했지만
다른 선수들의 영상과 공략을 보며 실력을 쌓았고
어느새 지역대회에 출전, 상금까지 타내면서 실력이 늘었다.
 
    닉네임 ""비스트"" 를 사용하는 브라이언씨.
  전쟁용병이나 군인같은게 아니라 프로게이머 프로필 사진임
      프로게이머로 상금을 본격적으로 받기 시작한 브라이언은
자신이 나고 자란 케냐 빈민가에 상금으로 후원을 계속 하고 있을 뿐만 아니라
        e스포츠 선수들의 육성에도 힘쓰고 있다.
      * 모탈컴뱃 하다가 졌을때 상대 선수 안죽임
* 모탈컴뱃 게임을 잘하는거지 진짜 모탈컴뱃 하는거 아님
* 총과 칼에 맞은 적이 있는거지 총칼을 쓰는 사람이 아님 "
978,키 162 남자도 연애할 수 있을까요?.jpg,    
979,너무 과해버린 한국패치.jpg,        
980,의외로 흥한 밈.gif,                
981,흔한 권총 스펙.jpg,    
982,경연 프로그램 심사위원을 전문가가 해야하는 이유.jpg,    
983,아들과 여친 동시에 물에 빠진 사건 여친 입장," 무슨사건인지는 아래 링크 참조
 https://m.ruliweb.com/community/board/300143/read/52418535 "
984,26년이나 앞서간 인방의 시초.jpg,"                      무려 95년도에 음악방송에서 
  실시간 PC통신 채팅을 접목시킴 "
985,마라토너 이봉주 수술 근황.jpg,원본출처 | https://youtu.be/BG1Wue_zfIM 
986,골댕이 로망 이상과 현실.jpg,        
987,장화 홍련 촬영장 분위기.jpg,    
988,비오는 날 시체 토막내서 운반한 썰,    
989,게이밍 가족을 둔 디시인..jpg,    
990,포경 안 하면 냄새가 상당합니다.jpg,"  게이게이야...
  "
991,나 20년 인생 모쏠임 ㅋㅋ 나 이길 수 있으면 이겨봐 ㅋㅋ.jpg,"      까불지마라...애송이...
    "
992,수영하러 갔다가 여왕개미 주운 사람.jpg,원본출처 | https://www.wetrend.co.kr/board/view?board_name=wit_best&wr_id=151913 
993,검도 VS 태극권,"  이게 뭐야 ㅋㅋㅋㅋㅋㅋㅋ
      "
994,지금보면 소름돋는 연예인 팬의 글,"    이거 완전 인피니티 스톤...
  "
995,커피 유통기한.jpg,    
996,택배 고객의 의도치 않은 능욕.jpg,    
997,강아지가 싫다던 아버지의 근황.gif,    
998,"26,000원.jpg","            ㅍㅌㅊ?
        "
999,다급하게 소방서를 방문한 1톤 트럭.gif,    
1000,강아지 미용을 맡겼는데 우리 강아지가 사라진거야,"            ???: 주인님..녀석은 가짜에요......
  "
1001,너의 부서는.jpg,              
1002,일본이 도장 문화를 사랑해서 못버리는 이유,"  스가 요시히데는
재래적인 비즈니스 폐습을 타파하기 위해
개혁 1호로 
'도장 없애기'를 선포함
  회사의 IT화와 기업문화 개선을 위함이었음
  전자결재를 보급하면서 기업을 유연하게하고
뭐 시바 쓸데없는데 시간을 쓰지 마라는 취지임
            일본의 도장 문화는
정말 이해가 안될정도였는데
상사들에게 기울여서 찍는게 매너라고하고
심지어 
간단한 결재서류조차 
도장을 받아야해서
  코로나 시국에, 자택근무 명령내려도
직장인들이 도장받으려고 
회사 나가는 진풍경이 펼쳐짐
  그런데 존나 문제는
    우리나라에도 잘 알려진 고노 다로 
사실상 현재 일본의 No.2 정도 되는 인간인데 
행정개혁담당장관이 도장에 미친 인간이고 
      도장 없애기의 선봉장에 서야 하는 
IT정책담당 장관인 타케모토 나오카즈는
  아예 도장지키기협회 회장임
  더웃긴건 1997년에
일본에서 관공서등에서 도장을 없애고 
전자화를 추진한 적이 있었음
다들 찬성한다 했는데
갑자기 반대파가 생기고
 반대가 극심했다고함
  그러면 도장을 없애는걸 막으려고 
  왜 그렇게 기를쓸까?
  일본 도장 시장의 규모는 약 2조원대로 추산됨
  전일본인장업력회 즉 도장 단체에서
  신나게 로비를 뿌리고 있기 때문 "
1003,"""누나는 왜 다리를 안 먹어?""",    
1004,취직했는데 선배 여직원과 왠지 썸 탈것같음ㅎㅎ,"   










































엗 "
1005,레스토랑 알바생의 실수.jpg,"  엄마가 호텔에서 일하고 있었을때 
  레스토랑 안내를 하던 사람이 만석인걸 깜빡하고 
  안내를 해버렸고 손님과 그 넓은 레스토랑을 한바퀴 돌고  나서는
  ""보시는대로 만석입니다""
  라고 말했던 얘기를 좋아한다 "
1006,세대별로 갈리는 돼지바.jpg, 
1007,이상한 수련만 열심히 하는 중국 무술,    
1008,모든 식당에 필수적으로 필요한 메뉴.JPG,이거 ㄹㅇ임 
1009,500년 동안 임대료를 동결한 동네,    
1010,광어회의 위엄!," 광어: 마!! 내가 왕년에는 간첩도 불게만들었서 임마!!
  "
1011,[약혐] 기네스북에 올라온 '고무인간',"            5억명 중 한명꼴로 발생하는 희귀 유전병인
콜라겐 이상 엘러스-단로스 증후군 환자인 게리 터너씨.
  피부가 늘어나는게 특징으로 복부쪽 피부를 15.8cm 를 늘리면서 기네스에 등재됨
    자신의 병을 숨기기 보다는 서커스 공연자로 일하면서
다른 사람들에게 즐거움을 주면서 보람을 느낀다고 "
1012,한국 게이머 성향 완벽 요약,                    
1013,"부정적인 이미지, 믹스 커피.JPG",원본출처 | http://web.humoruniv.com/board/humor/read.html?table=pick&pg=0&number=1069302 
1014,닌텐도 공식의 한복 피카츄.jpg,        
1015,불지옥이 열린 마블 세계관의 한국,"    킹밥은 안통하는데가 없네 ㅋㅋㅋㅋㅋㅋ
  "
1016,킹오파 유저들이 안타까운 이유 . JPG,"    철권유저: 철권7함
   스트리트파이터 유저: 스파5함
     킹오파 유저: 2021년에도 90년대 게임함
  "
1017,충격과 공포의 역대급 돈까스 재료,                                                             저거 생각보다 맛있다고 한다 
1018,층간 소음을 일으키는 윗집의 상상도.gif,원본출처 | https://www.youtube.com/watch?v=TRqiFPpw2fY 
1019,가장 기분 좋은 전역식.JPG,"    (울먹)
    "
1020,혐)차 막힌다고 권총 꺼내서 총기난사...,"  버블버블버블팝
  "
1021,기사식당 돈까스가 위험한 이유.gif,"        기사가 아닌 사람이 먹으러오면
  혼날 수도 있음 ㄷㄷㄷ
  "
1022,이번 배필 신작 여성 캐릭터 설정.jpg,"      아들 찾아야 함.
    "
1023,아빠 빵을 뺏어 먹었더니...,    
1024,길고양이 늘면서 같이 늘어나는 중인 동물," http://www.newspenguin.com/news/articleView.html?idxno=32
       담비
[ 사진은 노란목도리담비 ]
        얘들은 늑대처럼 2~6마리가 같이 뭉쳐서 살며 협동 사냥도 함. 사진처럼 사슴도 담비한텐 잡아먹힌다. 외모가 귀여워보이지만 현재 한국에선 '최상위 포식자' 중 하나.
  심지어 자기보다 큰 멧돼지도 잡아먹는다. 오소리까지 담비의 집단급습구타에 당한다고...잊고 있었는데 고라니도 잡수신다.
  육식동물이며 곤충도 잡아먹는데 특이하게도 다른 곤충은 잘 안잡수시고 주로 '말벌'을 잡아먹는다.
         http://www.newspenguin.com/news/articleView.html?idxno=1736 ;
  근래치곤 좀 됬지만 유해외래종으로 난리인 '등검은말벌'도 많이 잡수신다.
  등검은말벌은 나무의 높은 곳에 집을 짓지만 웬걸...담비는 나무를 겁나 잘탄다.
  이거 덕택에 새들도 치킨너겟 되는 경우가....
      그럼 제목에서 길고양이가 언급됬는데 왜 걔들때매 얘가 늘어나느냐하면.....
 
        영상 제목 그대로.
  얘들이 협동해서 고양이를 사냥해서 잡아먹음.
  현재 길고양이들이 늘어나면서 담비 입장에서 먹을게 늘어난터라 자연적으로 개체 수가 늘어나고 있다고....
  ※ 추가 내용으로 담비 자체가 고양이보다 덩치가 좀 더 크기 때문에 고양이들이 상대가 안됨.
      https://www.hani.co.kr/arti/animalpeople/wild_animal/992818.html ;
  심지어 최근엔 이런 기사도 나온다. 도시에서도 나오면 위험한거 아니냐고 할 수 있다. 엄연히 육식동물이고 최상위 포식자니까.
  근데 족제비과 특성상 성격이 까탈스러워서 사람한텐 접근을 안하려고하는게 매우매우 강하다. 그래서 저런 기사 내용이 나온다.
  저렇게 긍정적인 기사로 나오는 또 다른 이유는 한국에 몇 없는 최상위 포식자고 멸종위기, 천연기념물.
[다른 최상위 포식자로는 부엉이와 삵, 검독수리가 있다.] 
  천연기념물 부분은 내가 큰 실수를 했는데 북한에 있는 '검은 담비'가 거기서 천연기념물로 지정되있고 
  한국서 주로 분포하고 있는 노란목도리담비는 천연기념물이 아니고 국가보호종.(멸종위기 2급)
               위의 길고양이를 잡아먹는거 때문에 저런 댓글도 있고 카더라인지 뭔지 
  환경청에 담비를 유해조수로 등록해달라는 캣맘의 민원도 있었다고 한다.
  물론 실제로 민원을 넣더라도....담비는 천연기념물
국가보호종 (멸종위기 2급)
(한국서 주로 있는 담비는 천연기념물은 아니고 국가보호종. 내가 이 부분은 잘못알고 있었음. 모두에게 미안함;;)
이라는 신분을 지니고 있기에 민원이 접수되긴 아주 어렵다고 봐야한다.
        다른 유저 말로는 '개체 수가 너무 늘어나면 담비가 보호종이라 함부로 대할 수도 없는 유해조수 자리를 메꾸게 될 것이다.' 라고 하는데
  어느정도 가능성은 있는 말이다. 실제로 수리부엉이가 양계장에서 무료시식을 거하게 한 사례도 있었다.
  그런 상황이 발생했지만 천연기념물이라 어떻게 할 수도 없었다.
       
https://www.news4000.com/news/articleView.html?idxno=37439 ;
      그런데 생각보다 담비로 인한 피해 사례는 정말 적다. 
  그 놈의 족제비과 특유의 까탈스런 성격 때문에 도심지까지 영역을 뻗치는데도 사람한테 피해를 주는 경우가 아직까진 없다시피한것.
[기사 내용의 양봉하는 분의 벌꿀은...핥짝핥짝 당하면 그저 애도를...]
      마지막으로 귀여운 외모 때문에 애완용으로는 안돼나? 싶을텐데
  첫 번째 이유로는 천연기념물 국가보호종(멸종위기 2급)이다.
두 번째로는 애들이 귀엽게 생기긴했어도 족제비과에 속한다. 이거 무시하면 안된다.
족제비과의 저력은 상상을 초월한다.
  정 키워보고 싶다면 자매품(?)으로 패럿이라는게 있으니 그 녀석을 살펴보는게 좋다.
아마 유일하게 가축화에 성공한 족제비과다.
        아무튼 대강 요약하면 다른 요인도 있겠지만 담비 입장서 먹을거리인 길고양이가 늘어나다보니 얘도 자연적으로 늘고 있다는거시다.
    ※ 수정 : 천연기념물이라고 기재한 부분은 내가 제대로 파악을 못해서 잘못 기입된거. 북한에 서식하는 '검은담비'가 북한에서 천연기념물로 등록이 되어 있고
남한에서 서식하는 담비는 천연기념물이 아님. 단, 멸종위기 2급이라 '국가보호종'으로 지정되서 따로 관리되는건 맞음.
잘못 알려줘서 미안하다는 말로 마침 ㅠㅠ "
1025,한국식 회초밥,"  마늘이랑 깻잎 가져와!!!!!
  "
1026,한국의 인종차별.JPG, 
1027,왜 한국인들은 다 이렇게 앉냐???," 와 비밀이었는데 걸렸다ㅋㅋㅋㅋ
  "
1028,비정한 유튜브의 세계.jpg,   조심하지 않으면 삽시간에 인성쓰레기 병1신이 되고야 맙니다! 
1029,123일간 서로 손목에 체인을 감았던 우크라이나 커플 근황,"            발렌타인데이였던 올해 2월 14일.
  우크라이나의 한 커플이 서로의 손을 쇠사슬로 묶고 123일 지내기를 도전함.
  서로의 사랑을 확인하기 위해 사생활부터 포기했고
당장 도전 첫날부터 공중화장실에서 어느쪽으로 가야 하느냐는 문제부터
  옷을 어떻게 입는지, 씻는건 어떻게 씻는지 하는
다양한 문제에 마주했고
              6월 17일, 약속한 도전 123일만에
쇠사슬을 묶었던 바로 그 장소에서 절단기로 체인을 끊음
  도전을 시작할 땐 이게 끝나면 결혼할거란 생각도 가졌던 두 사람이지만
  도전이 끝나자마자 헤어짐 "
1030,신기술이 도입된 요즘 중국 스마트폰폰 근황....png,"      과도 기능 탑재
    "
1031,어둠의 게임의 결말,원본출처 | http://m.humoruniv.com/board/read.html?table=pds&number=937109 
1032,한국어의 세계화.jpg,"  ??
  인도네시아사람이 한국어로 적어줌
    정확한 형태는 Semangat kuliahnya, semoga kamu bisa jadi mahasiswa yang berprestas인데
뜻은 ""대학 생활 즐겁게 하고~! 훌륭한 학생이 되길 바래!!""야
    아아...이것은 ""표음문자""라고 한다...
        "
1033,싸이코패스 살인마도 지리게 만든 공포의 미.친년,"  미국의 가장 미친 살인범을 꼽으라고 한다면 가장 먼저 나올 인간쓰레기
찰스 맨슨
  교도소에 있는동안 자신이 한 범행에 관해서 전혀 반성하는 척도 안 하는 밑바닥 중에서도 밑바닥 쓰레기다
        그런데 어느날 그에게 구애를 시작한 여자가 있었다
애프턴 일레인 버튼은 옛날부터 열정적인 찰스맨슨의 추종자였고 그를 너무 사랑해서 결백을 증명할 수단까지 모으고 있었다고 했다
  심지어는 교도소에서 결혼을 하고 싶다며 자신의 애정을 모두에게 과시했다
  이것만 보면 제정신이 아닌 여자구나 하겠지만...
    이 여자는 상상 그 이상으로 제정신이 아닌 여자였다
            사실 그녀는 찰스 맨슨을 사랑한다기 보단 돈벌이수단으로만 보고 있었다
  당시 맨슨은 나이도 지긋해서 길어봤자 5년에서 10년을 바라보는 노인이었다
만약 결혼을 하게 된다면 맨슨의 시체는 아내인 버튼에게 가게되고
버튼은 그의 시체를 방부처리한 후에 전시해서 돈을 벌어들일 생각이었다
  처음부터 맨슨에게 접근한 이유도 전부 이 돈벌이를 위한 행동이었다
멀쩡한 여자가 굳이 저런놈과 결혼하는게 보통은 아니니까 사람들이 열심히 뒤를 캐고 다녔고, 사람들의
조사로
일레인의 돈벌이 계획이 세상에 알려지게 되었다.
  찰스 맨슨도 이 사실을 알게되고 적지않은 충격을 먹었다
   이 사실을 알게된 맨슨은 파혼을 선언했고, [자신은 죽지 않고 영생을 누릴 것이다] 라고 천명했으나 
얼마 지나지 않아 사망 + 허가기간 만료(허가받은 지 90일 안에 결혼해야함)로 맨슨의 시체를 얻지 못해
  모든 계획은 수포로 돌아감 "
