,제목,내용
10,지나가던 연대생 수능 문학 공부법 알려줄게~,"헐...나 진차 가볍게 쓴 글인데 이게 머선 일이지...?
생각지도 못한 관심에 너무 당황스럽구만..

사실 국어 공부법 관련글 쓸지 말지 고민 많이 했거든..ㅠ
이 방법을 내가 어디서 배운게 아니고...(내가 인강이랑 학원 이런걸 수강해본적이 없어서..ㅠ)
과외 학생들에게 알려주려고 나 스스로가 문제를 어떻게푸나 하고 계속 되새김질 하다가 정립한 방법이라서ㅠㅠ
그래서 써서 욕먹는거 아닌가..속으로 걱정 많이 했는데
생각지도 못한 반응이라 너무 놀랍다!

암튼 책갈피 해놓은 친구들아..꼭 다시와서 봐야해ㅋㅋ 알겠지?ㅋㅋ
그리고 그냥 눈으로 볼때는 끄덕끄덕 하는데 막상 적용해보려고 하면 잘 안될거야. 그래도 오답할 때 이거 기억하면서 적용하려고 노력하다보면, 내 방법이 적용될 수도 있고 너만의 방법으로 개량될 수도 있으니...암튼 꼭 다시 문제에 적용해보려고 노력해봐야해!

비문학, 문학 공부법 다른거 해달라는 친구들도 많아서
사실 며칠있다가 나 쉬는날에 또 한번 써볼까 싶긴한데
이거 역시 어디서 배운 방법은 아니라서 좀 고민되긴한다..

좀 더 생각해보고 용기나면 한번 써볼게

그리고 댓글에 공부법 올려주신 분들 다 좋은 방법들이고
나도 공감하는 바이니 그분들 것도 눈여겨보길바라
일단 내눈에 보이는건 다 따봉 눌렀어..베스트 댓글 순으로 댓글보는 친구들이 잠시라도 꼭 봤음 좋겠어서..

암튼 이만 잔소리 줄일게..ㅋㅋㅋ
그리고 절대 안지울거니까 걱정말어~


+추가

생각보다 이것도 많아보는 것 같아서 조금 더 추가할게.

1. 문학이 애매한게 많다고 생각하는 친구들 봐줘.

-사실 수능문학은 애매할 수가 없는 과목이야.
왜냐면 이러면 출제오류시비에 쉽게 걸림.
문학이란게 애초에 답이 없는걸 답을 정하도록 만드는거라서
확실하게 근거가 있는것만 낼 수 밖에 없어.
아님 <보기>같은 조건을 주거나

근데 왜 수험생들이 애매하게 느끼냐?
대부분 ‘문학 개념’을 몰라서 그런건데
문학개념이란게 ‘공감각적 심상’ ‘객관적 상관물’ 이런것만
이야기 하는게 아님. 왜냐면 오히려 이런건 하위권들도 진짜 어디서 들었는지 기똥차게 잘알고 있더라.
오히려 더 헷갈리는게 뭐냐면 ‘의지적 표현’ ‘회상’ ‘성찰적표현’ 같이 너무 쉬운거 있지. 이런거 문제로 꼬아내면 바로 틀림.

왜냐면 이걸 되게 어렴풋이 알고 있거든.

그래서 문학개념공부를 하는게 중요한거야
그냥 단순히 ‘회상’이라고 하면 돌이켜 생각하는거에서 그치지 않고 보통 문학작품에 어떤 표현이나 서술어등이 있을 때 평가원이 회상이라고 인정 했는지 공부하는게 즁요해

더불어 부정-부정 긍정-긍정 이렇게 꼬아내는 문제들 더 유의해야함 이런 문제들이 오답률 쑥 올라가거든
예를들어 쓸쓸한 분위기와 그리움 감정 즉 부정적인 감정을 담고 있는 시에서 선지를 ‘별을 통해 자아를 성찰하며 과거에 대한 그리움을 나태내고 있다’ 이렇게 물어본단 말이야.

그럼 시도 부정, 선지도 부정 이니까 애들이 맞다고 넘어가
여기서 함정이 시에서 ‘성찰’ 이라고 볼 만한 건덕지가 없어.
그래도 애들이 쉽게 넘어가고 이런걸 애매하다고 표현하더라고. 이런 실수는 상위권일수록 더 쉽게 나타남.

그래서 혹시 본인이 문학을 애매하게 틀린다? 특히 2등급이상 상위권이다? 그럼 스스로 내가 어느부분을 애매하게 여기는지 확실하게 찾아야함. 이것만 해결되어도 성적올라.


여기서 중요한건 ‘아! 나 회상 뭔지 아는데 실수했네~ 못봣네~ ‘이러고 넘어가면 안됨. 진짜 못본거라면 왜 못봤는지 왜 착각했는지. 그거 원인도 스스로 점검해보는게 중요해.

2. 고전시가 공부 어떻게해?

- 이것도 질문이 너무 많은데, 썰을 풀자면 끝도 없어서 간단하게 풀게

가장 대원칙은 ‘모든 구절을 다 해석할 필요가 없다.’야

진짜 충격적일 수도 있지만 나는 대학와서 ‘잔나비=원숭이’인걸 알았음ㅋㅋ 나 수능때도 모의고사 때도 3년내내 고전시가에서 점수나간적 한번도 없거든 근데도ㅋㅋ
(가능한 이유가 잔나비는 사실 고전시가에서 중요한 시어로 쓰이지 않아 걍 자연물 중 하나임. 또는 잔나비가 나와도 잔나비 뒤에 나오는 수식어나 서술어가 중요하지 잔나비 자체가 뭔지 몰라도 됨.
예를들어 ‘저기 저 잔나비 나를 희롱하는구나’ 이런 구절이 있잖아 그럼 걍 잔나비는 화자를 희롱하는 물체 정도로 파악하면되고 그로인한 화자의 감정만 유추하면 되는거지 진짜 나비가 희롱하는건지 원숭이가 희롱하는건지 알게 뭐람?- 알면 좋지만 몰라도 상관없다구..)

나는 고전시가에서 모르는 단어를 굳이 해석하려고 하지 않았어.

고전시가에서 중요한건
‘자주나오는 고어-특히 감정을 표현하거나, 임금을 표현하는 상징물’ 정도 알고 ‘자주나오는 주제’ 정도 알면 나머지는 그냥 유추해서 풀면됨.

오히려 선지도 진짜진짜 쉽고, 답도 현대시 보다 훨씬 쉽게 나오는데 애들이 고전시가하면 굳어서 머리 회전을 못하더라고...ㅠ

물론 고어 많이 알면 좋아, 시간도 금방 단축되고 시에 대한 해석도 쉽게 되니까 문제가 더 쉽게 보이겠지.
그러므로 공부하는 그 순간에는 좀 어렵다고 느끼는 고전시가
정답이 맞더라도 다시 한번 해석확인 하는 과정은 꼭 필요해

그리고 고전시가 자주 틀리는 애들은 차라리 인강을 봐.
고전시가는 선생님이 설명하는거 듣고 해석하는거 몇번 쳐다보면 이게 저절로 습득되는게 진짜 많음.

그러나 이렇게 평상시에는 공부하되 시험 문제 풀때는 또 시험이다라고 생각하면서 연습할 때는 내가 고전 시어를 잘 모르고 모르는 단어 투성이라도 내가 아는 표현 몇가지 그리고 <보기>로 정답을 찾아내는 연습 하는게 꼭 필요해.

겁먹지말고..

내가 이건 다음에 호옥시나 시간나면 예시를 통해서 썰 한번 더 풀게...(사실 이야기한게 내 고전시가 공부법 다 이긴 함)


좀 더 도움되었으면 하는 마음에 급하게 글 추가한건데
아무쪼록 도움이 되었으면 좋겟당...

그럼 안녕~~

<본문>

국어 공부법 답변해줬던 연대생인데...
(+송도에서 애플 삼겹살을 즐겨먹던 신촌캠 학생임)
생각보다 댓글이 많았어서...이제 이걸 다 답변 해줄 수 없을 것 같아, 가장 많이 물어봤던 질문 중 하나를 자세히 답변해주려고해...

너무 길게 이야기 하면 나도 힘들고 너희도 힘들잖아?
그래서 가장 핵심만 알려줄게
(그리고 솔직히 여기 쉬려고 오는 곳인데..이런 공부글 주의 깊게 안 볼것 같기두하고..ㅎ)

일단 문학 점수는 생각보다 올리기 쉬워!
내가 과외하면서 학생들 제일 점수 쉽게 올렸던게 문학이야
웬만한 고3들은 나랑 과외하면 일단 문학은 다 해결됐가든
그때 알려줬던 방법 중 가장 핵심 두개만 알려줄겡


1. 문학은 개념어가 필수다.

얘들아 너희 개념어 잘 알고 있는 것 같지? 근데 생각보다 잘 모르는 경우가 많아. 그니까 대충 들어서는 알고 있는데 물어보면 정확히 몰라. 대충 듣기만 했으니까...

나도 학생들이랑 과외할 때 애들이 대부분 ‘개념어는 다 아는데 적용을 못하겠어요.’ 또는 ‘보기 문제랑 서술상 특징 문제 헷갈리는데 제가 개념은 다 알긴해요. 근데 왜 틀릴까요?’이런 질문 많이 받았거든

그래서 확인해보면 개념어를 모르는 경우가 많았어.
그니까 문제에서 공감각적 표현이라는 개념을 물어봐서
‘정확히 그게 뭔데? 어느 부분에서 그 표현이 사용됐는데?’하고 되 물어보면 답을 못하는 경우가 80%..

그러니까 꼭 문학 문제 많이 틀리는 친구들
문학개념어 복습 한번 하길바라

인강은 잘 모르겠고
책을 하나 추천해주자면
‘권규호 2주만에 끝내는 문학개념어’ 인가??
(책 이름 이게 맞는 정확히는 모르겠어..ㅠㅠ)

이 책이 내용도 컴팩트하고 설명도 잘해있고 독학하기 참 괜찮게 되어있는 책이더라.

이 책으로 개념 다잡으면 좋고
이 책에 있는 문제 풀 때 특히 그냥 ‘맞는것 같은데?’
이러고 넘어가지 말고 어느부분에서 해당 개념이 쓰였는지
확실히 체크하고 넘어가. 이해안되면 학교 쌤 붙잡고라도 물어보고.


2. 문학을 해석하려고 하지마

많은 친구들이 문학 해석하기 어려워요ㅠㅠㅠ
하는데 해석이 되면 좋지만 해석이 안되잖아?
그럼 하지마.
왜냐면 지금 우리는 문제 정답 맞추는게 더 중요하니까.
게다가 잘못된 해석은 오히려 정답률을 낮추는 원인이 되기도 해.

애초에 수능에서도 문학 해석을 물어보지 않아.

나는 해석이 잘 안되는 시 보기 문제 풀때 이런 메커니즘으로 풀어

1. 보기에 해당 표현이 있는가
2. 문제에서 긍/부정을 물었다면 진짜 그렇게 쓰였는가?
3. 문제에서 물어보는 문학개념어가 사용된 것이 맞는가?

예를들어 문제에서 ‘떨어지는 별’이쓸쓸한 화자의 마음을 표현한거냐고 물어봤어. 그리고 시를 보니까 주로 쓰인 시어가 부정적이고 시 분위기도 쓸쓸해
또한, 뒤 시어에 황량한 바람이 불어온다 이런 시어가 있단 말야
게다가 보기에도 해당 시는 자연물을 통해서 화자가 외로움은 마음을 표현했다고 적혀있네.
그럼 일단 나는 선지가 맞다고 생각하고 다른 선지 봤어.





실제 수능 문제로 예시를 들어줄게

내가 이 문제를 가져온 이유가 나도 처음에 이 시를 보자마자
‘뭔 개소리야??’ 싶었던 말이야..ㅋㅋㅋ
(시인분께는 죄송.,,ㅠㅠ 나도 사실 시 해석 잘 못하구...시 별로 안좋아해..ㅋㅋㅋ)

특히 4번을 보면 솔직히 내가 시인이 올리브 빛이란 시어를 그림 속에서 영감을 받아서 썼는지 그걸 어떻게 아냐고? 그치 않아?ㅋㅋㅋ

근데 저 위에 보기 형광펜 쳐놓은거 보면 해당 근거가 있어.
그럼 ‘아 그럴 수도 있겠구나~‘ 하고 넘어가는거야
그리고 뒤에 있는 ‘따뜻한 봄의 이미지 표현’은 보기 끝자락에 보면 ‘봄을 맞이 한 생동감’,’ 고향마을의 따뜻한 풍경대한 그리움’ 이게 주제라고 했는데 그럼 서로 비슷한 긍정적인 표현들이니까 걸릴게 하나도 없지.
그럼 100% 수긍은 안가더라도 ‘뭐 그럴 수도 있겠지~‘하고 넘어가면 되는거....

이거 답은 3번인데 이유는 간단해 공감각적 이미지라는 개념이 해당 부분에서 사용되지 않은거임

생각보다 답은 보통 이렇게 간단하게 나와
부정적인 시어로 쓰여있는데 긍정적인 표현으로 사용됐다고 하거나
사용하지 않는 문학개념을 사용했다고 한다거나~

문학 작품의 해석은 사람마다 진짜 다양하게 할 수 있기에 평가원도 너희에게 심오한 해석을 요구하지 않고, <보기>라는 가이드라인을 주고
저기에 맞게 해석 했는지만 물어보는거야.

그러니까 시 해석 못한다고 고민하지 말고 이런 관점으로 접근한번 해보길 바라.
생각보다 풀리는 문제가 넘나 많다구~(사실 어려운 문제들도 좀 더 헷갈리게 해놓은것 뿐 푸는 방법은 똑같음)


나 짧게 쓰려고 했는데 생각보다 길어져서 도중에 맞춤법 많이 틀리고 어휘력도 똥망일지 모르겠다ㅋㅋㅋㅋㅋ

그래도 휴대폰으로 열심히 쓴거니까 이해해줬으면 좋겠다ㅠ

사실 여기 노는 게시판이라서 많이 안볼것 같긴한데
한명에게라도 도움이 되었으면 해~

그럼 안녕~~~


다음에 또 시간 비는 날 있으면 국어 상담소 한번 열게
모두 열공~~


+ 혹시 내가 책 한권만 추천해줘서 이거 바이럴이라고 할까봐
추가 해ㅎ

사실 내가 고1 때 실제로 풀었던 책은 ‘국어의 기술0’라는 책이고 나는 3년내내 문학개념어가 필요할 때마다 이 책으로 다시 복습했어.

근데 나중에 알고보니 이 책은 저자 선생님들 사이의 문제로(?) 책이 좀 많이 개편 된 것 같더라.
나는 개편 된 이후에 책을 풀어보지 못해서 섣불리 좋다 아니다 말은 못하겠지만, 워낙 유명한 책이고 나도 이 책 진짜 좋아하는 책 중 하나였거든.
그러니까 혹시 국어 기본서 찾는 친구들은 이 책도 한번 눈여겨봐~

내가 위에 추천해준 권규호 쌤 책은 내가 과외 할 때 서점가서 직접 확인하고 사서 문제도 풀어보고 과외 학생들에게 추천해준 책인데 후기가 생각보다 좋았어서 추천해주는고야~

참고해줘! "
11,용량 없어서 도경수 짤털,"판하면서 맘에드는사진 모은거야
엑소 팬 아니고 디오 팬도 아님
댓으로 더품 "
12,오마이걸 어그로로 보는 팬덤 성향,"누가 이딴 하급 어그로를 끌었음

트레저 팬덤


정중하게 거절

세븐틴 팬덤



헷갈려함 뉴비 있음 먹금하라는 댓글에 추천 11개나 줌

엑소 팬들

짬바가 있지 먹금 잘함

엔시티 팬들

시크함 먹금 굿

방탄 팬들

먹금의 교과서

투바투 팬덤


칭찬 (?) 해줌 ㅋㅋㅋ

+) 더보이즈 팬덤

환영해줌 하트 붙이고 난리남 "
13,인류애 느꼈던썰 풀어주라!!  ꒰◍ˊ◡ˋ꒱ ,"❌페북 인스타 퍼가지마❌

이건 이어쓰기 1회~160회까지 이어져있는 링크야!
https://m.pann.nate.com/talk/351545231

다들 본문 추천 한번씩 눌러주면 고마울거같아!
그리고 추반댓은 최대한 자제해줘ㅠㅠ 꼭 물어보고싶은게 있다면 댓글말고 답글로 추반해달라고 하는게 좋을거같아

시작!


오늘도 추천받은 주제로 글 가져와봤어! 다들 댓글 많이 달아주라❤ 그리고 혹시 보고싶은 주제 있으면 꼭 주제추천글 댓글로 적어줘! 썰푸는 글에 적으면 묻힐 확률도 높고 다른 판녀들이 댓글 보는데 방해될수도 있어서 베댓 가더라도 그 주제로는 글 안 쓸 예정이야 주제추천방 글 링크 두고갈게!! ฅ^._.^ฅ
https://m.pann.nate.com/talk/355306213
링크 안 들어가지면 '이어쓰기 주제신청방'이라고 검색하면 바로 나올거야⭐ "
14,황당했던썰 풀어주라 ( •᷄⌓•᷅ )?,"❌페북 인스타 퍼가지마❌

이건 이어쓰기 1회~160회까지 이어져있는 링크야!
https://m.pann.nate.com/talk/351545231

다들 본문 추천 한번씩 눌러주면 고마울거같아!
그리고 추반댓은 최대한 자제해줘ㅠㅠ 꼭 물어보고싶은게 있다면 댓글말고 답글로 추반해달라고 하는게 좋을거같아

시작!


오늘도 추천받은 주제로 글 가져와봤어! 다들 댓글 많이 달아주라❤ 그리고 혹시 보고싶은 주제 있으면 꼭 주제추천글 댓글로 적어줘! 썰푸는 글에 적으면 묻힐 확률도 높고 다른 판녀들이 댓글 보는데 방해될수도 있어서 베댓 가더라도 그 주제로는 글 안 쓸 예정이야 주제추천방 글 링크 두고갈게!! ฅ^._.^ฅ
https://m.pann.nate.com/talk/355306213
링크 안 들어가지면 '이어쓰기 주제신청방'이라고 검색하면 바로 나올거야⭐ "
15,청주 여중생 동반 자살 사건 전말, 
16,동탄 사건 이거 사실인가요?," 
사실인지 궁금합니다.  "
17,양가위해 돈 모으는 문제 !,"(추가2)

일요일이 되었네요.

약속한 시간에 카페에서 만났고
처음엔 침묵만 흐르다가
조금씩 말이 나오기 시작했고
남자가 설득하는말 다 듣고
저는 헤어지기로 마음 굳혔다고 전달하고
남자의 계속 반복되는 설득에
충분히 들었다고 말하고
미리 부탁했던 지인들이 와서
더 이상 매달릴 수 없게 정리하고 나왔습니다.

앞으로 연락이든 집앞에서 기다리든
계속 매달릴거 같은데
마음 굳게 먹고 흔들리지 않으려고요.

사람 보는 눈을 키우도록 하겠습니다.
관심 가져주셔서 감사합니다.

—————————————

(추가1)

지인들에게 조언을 구하니 모두 제 입장이 맞다 해주셨고
그 중 몇은 헤어지라고 조언해주셨습니다.

혹여나 제 지인이여서 제 입장으로만 기운 조언일까
이곳에 글을 쓰게 되었습니다.

이곳에서도 몇 분을 제외한 모든 댓글이
제 입장에 힘을 실어주셨네요.
제 결정과 지인들의 조언에 확신을 갖게 해주셔서 감사합니다.

27일로 넘어간 새벽에 남자친구에게 헤어지자고 통보했습니다.

장거리인 남자친구는 연차내고 달려와서 만나달라 계속 기다렸고요.
잠깐 만나 이야기 하며
그래도 마지막으로 서로 생각할 수 있게
일요일에 다시 만나 최종적으로 이야기 하기로 했습니다.

제 생각을 바꾸려고 시간을 갖는건 아니고
제 부모님께 결혼 안할거다 말씀드리기 전에 저도 신중해야 할 것이고
남자친구도 서서히 받아들일 시간을 갖는게 좋다고 생각되어서요.
2년 넘게 만난 남자친구에 대한 최소한의 예의였습니다.

사실 그 동안 다른 여러 문제들도 있었고
해결되지 않으면 헤어질 각오로 얘기도 여러번 했습니다.
그때마다 남자친구가 해결방안을 제시하고
절실하게 매달려 넘어갔었고요.

그치만 이번일은 남자친구가 저의 마지막 선를 넘었다고 생각합니다. 부모님을 차별하다니요. 이제와서 그럴의도 없었다고 자기가 말을 잘못했다고 미안하다고 시댁 모으는 10만원 자기 용돈에서 해결하겠다고 하지만 믿지 않습니다. 이미 본심이 드러났다고 생각합니다. 하나를 알면 열을알고 이번일은 빙산의 일각일테니까요.

일요일에 잘 마무리되었으면 좋겠습니다.

다시한번 시간내서 읽어주시고 진심으로 조언해주신 분들 모두 감사드립니다.

————————————————

(원글)

결혼 전 입니다

남자쪽 부모님 노후 준비 안되어 있음
여자쪽 부모님 노후 준비 되어 있음

남자는 자기 형제들과 예전부터 매달 10만원씩 부모님 노후 준비로 모으고 있고 여자는 그런거 없음

남자는 결혼 후에도 꾸준히 매달 10만원 모을 계획

여자는 결혼 후에 본인도 생활비에서 똑같이 여자쪽 부모님을 위해10만원씩 모으고 싶다고 함

남자는 집안 경제력이 다른데 남자가 쓰는 만큼 꼭 똑같이 써야 하냐는 입장

여자는 남자쪽 모으는걸 막는게 아니라 공평하게 여자쪽도 모으겠다는건데 왜 화내는지 모르겠다는 입장

맞벌이임
벌이 비슷함

여러분의 입장은?

여러분의 댓글 하나하나가 저의 결혼 여부를 결정 지을 수도 있겠네요. 솔직하고 냉정한 댓글 부탁드릴게요.

읽어주셔서 감사합니다. "
18,취미로 하는 눈화장 11 + 브러쉬,"안녀엉~~

새로 산 섀도우로 한 화장이 마음에 들어서

글 올리러 왔어ㅎㅎ!

이번에 구입한 섀도우 팔레트 너무 마음에 들어ㅠㅠ

그리고 브러쉬 궁금하다고 하는 댓글이 있어서

사용하는 브러쉬까지 알려주고 갈겡!

오늘도 봐줘서 고맙고 궁금한거 있으면 댓글달아줭



사진은 아이폰XS 후면카메라로 자연광에서 찍음!

보정은 Photoshop Fix 어플 사용함!



1. 인투레이스 팔레트로 해본 깔끔한 눈화장

-오렌즈 체리문 브라운
: 오렌즈랑 키르시랑 콜라보해서 나온 렌즈! 평소에 끼던 렌즈보다 직경이 크지만 자연스럽고 이쁨ㅠㅠ
초승달 모양 그래픽인데 은은하게 그라데이션되어 있어서 너무 마음에 드는 렌즈야! 브라운렌즈 좋아하는 사람들은 꼭 구입해봐ㅠㅠ 존예

-클리오 프로 아이 팔레트 08 인투레이스
: 인스타보다가 영업당해서 엄청 고민하다가 질러버린 팔레트.. 내가 진짜 좋아하는 뮤트한 브라운이라서 살 수 밖에 없었엉.. 색구성이 좋아서 다양하게 활용하기 좋은 것 같음! 데일리 섀도우 팔레트로 추천!

-에뛰드 쌩얼카라
: 쓰니 인생 마스카라~ 셀프로 속눈썹펌한 상태라 스크류 브러쉬로 빗어쥬고 마스카라 해줬엉!

-이니스프리 스키니 브로우 펜슬 새벽이슬에쉬브라운
: 얇아서 눈썹 꼬리부분 그리기 편해서 좋음! 근데 뭉쳐서 똥(?)나올 때가 많아ㅠ

-아리따움 아이돌 브로우 파우더 케익 내추럴브라운듀오
: 눈썹 빈 부분 채우는 용도로 사용하고 있음!
예전에 구입한건데 아직도 사용중.. 짐슴용량


2. 사용하는 브러쉬 정보
-다이소 핑크팝 브러쉬
: 사선브러쉬는 섀도우로 아이라인 그릴 때 사용하고 일자브러쉬는 애굣살에 글리터 올릴 때 사용하고 있음!

-elf 아이메이크업 브러쉬 4종세트
:쿠팡에서 구입했어~ 제일 작은 브러쉬는 삼각존 뒷트임할 때 사용하기 완전 딱이야! 나머지는 그냥눈두덩이 베이스 올릴 때 사용하고 있엉

-플라리아 오로라 브러쉬 5종
: 몇 년전에 구입해서 브러쉬 상태가 좀..ㅎ
쿠팡인가 위메프에서 구매했엉! 사선브러쉬는 좀 두껍고 통통해서 파우더타입 아이브로우로 눈썹 채워줄 때 사용하고 있어! 옆에 포인트브러쉬는 삼각존 채울 때 사용중! "
19,좋아하는 친구유형 말해보자!! (ू•ᴗ•ू❁),"❌페북 인스타 퍼가지마❌

이건 이어쓰기 1회~160회까지 이어져있는 링크야!
https://m.pann.nate.com/talk/351545231

다들 본문 추천 한번씩 눌러주면 고마울거같아!
그리고 추반댓은 최대한 자제해줘ㅠㅠ 꼭 물어보고싶은게 있다면 댓글말고 답글로 추반해달라고 하는게 좋을거같아

시작!



나는 긍정적인 친구! 그냥 뭘 하든 긍정적으로 받아들이는게 눈에 보이면 보기좋고 넘 귀여워ㅠㅠ


오늘은 저번에 싫어하는 친구유형에 이은것도 았고 이 주제로 추천받아서 글 가져와봤어! 다들 댓글 많이 달아주라❤ 그리고 혹시 보고싶은 주제 있으면 꼭 주제추천글 댓글로 적어줘! 썰푸는 글에 적으면 묻힐 확률도 높고 다른 판녀들이 댓글 보는데 방해될수도 있어서 베댓 가더라도 그 주제로는 글 안 쓸 예정이야 주제추천방 글 링크 두고갈게!! ฅ^._.^ฅ
https://m.pann.nate.com/talk/355306213
링크 안 들어가지면 '이어쓰기 주제신청방'이라고 검색하면 바로 나올거야⭐ "
20,금사빠&금사식썰 풀어주라!! ღ’ᴗ’ღ,"❌페북 인스타 퍼가지마❌

이건 이어쓰기 1회~160회까지 이어져있는 링크야!
https://m.pann.nate.com/talk/351545231

다들 본문 추천 한번씩 눌러주면 고마울거같아!
그리고 추반댓은 최대한 자제해줘ㅠㅠ 꼭 물어보고싶은게 있다면 댓글말고 답글로 추반해달라고 하는게 좋을거같아

시작!


오늘도 추천받은 주제로 글 가져와봤어! 다들 댓글 많이 달아주라❤ 그리고 혹시 보고싶은 주제 있으면 꼭 주제추천글 댓글로 적어줘! 썰푸는 글에 적으면 묻힐 확률도 높고 다른 판녀들이 댓글 보는데 방해될수도 있어서 베댓 가더라도 그 주제로는 글 안 쓸 예정이야 주제추천방 글 링크 두고갈게!! ฅ^._.^ฅ
https://m.pann.nate.com/talk/355306213
링크 안 들어가지면 '이어쓰기 주제신청방'이라고 검색하면 바로 나올거야⭐ "
21,판남 자문자답 레전드, 
22,원본지킴)+양쪽각각본인등판)+결말)집들이선물로 어때요?,"+)
원본 지킴이임.


이렇게 많은 분들이 봐주실 줄 몰랐음.

그러다보니 원글쓴이로 보이는 분이 먼저 등장함.



익명이니 100% 확신할 순 없겠지만 

말투가 원글과 너무나 흡사함.



한번 봤더니



 
???? 그만 알아보자.

참고로 이 글의 댓글을 '추천순' 으로 정렬한 뒤 제일 마지막 페이지에 가면 이 댓글을 직접 보실 수 있음.

대댓까지 더 있으니 판단은 보신은 분들의 몫으로 하겠음






++)

역시나 많은 분들이 보셔서인지.


이번엔 본인 이야기 같다며, 친구 분으로 보이시는 분이 증거 카톡과 함께 등장.

(친구분 댓글은 박제 원치 않으실 수도 있으니 설명으로 대신함.)


1차로 정황에 대해 설명을 해주심.

알고보니 축의금을 30만원 따로 하셨다고 함.


친구분 아직 완전한 손절은 아니었고 그 후 연락만 안하시는 상태였다고 하셨는데, 

두번째로 긴 장문 댓글을 남기시며 

결국 30만원 원금 회수에 성공했다는 사이다 결말을 주심.


원본은 역시 이 글의 '사진댓글'을 누르시면 바로 확인하실 수 있음.



인연 확실히 정리 하신 거 축하드리며 (+30만원 회수) 마무리 하겠음.






ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ

요약)

1. 청첩장 돌리러 친구들을 신혼집으로 2시에 부름

2. ‘비조리’ 떡볶이, 튀김을 ‘추가’로 시켜줌

3. 친구들이 과일, 세제 등등 집들이 선물을 사옴

4. 그 중 ‘소주 한짝’도 포함

5. 글쓴이 커플 술 좋아함

6. 4년이 지난 지금, 아직도 남편과 함께 친구들이 어이없다함. 왜 술을 사오냐고

7. 토스트기나 커피머신 등을 주지 않은 친구들이 센스가 부족한 것

8. 거기다 친한 친구들인데 브라이덜 샤워도 생략해서 서운














휴지나 세제같은 생필품이었으면 이렇게 글 올리지도 않았을거에요 ^^!

->????? 추가글에 ‘세제, 휴지, 술 사올 돈 모아서 토스터기나 커피머신 같은거 주면 좋았을텐데’ ‘그게 센스있는거 아닌가요;;’ 타령을 함 .

??????????????
자기가 무슨 말 하고 있는 지 모름.




‘누구는 휴지, 누구는 세제, 누구는 과일..’

자기가 직접 친구들이 생필품 사왔다고 씀.




자기가 직접 자기랑 남편 술 좋아한다고 씀.





개인적인 킬포 )

1. 그냥 떡볶이가 아니라 ‘비조리’에 튀김을 ‘추가’로 시켰다고 생색냄

2. 저러고 축의금도 챙겼을 것 <-ㄹㅇ 창조경제 흑자냄

3. 4년이 지났고, 남편과 함께 친구들 욕을 글까지 씀






결론 )

거지 근성에 지능도 낮은데 꾸역꾸역 흑자 내놓고 친구들 욕하다가 사람들한테 욕쳐먹고 글삭함.


끗. "
23,방시혁 akb곡 방탄 줄려고햇네,"ㅋㅋㅋㅋㅋㅋㅋ이건 무슨 소리야...
방시혁 akb작곡가 찾아가서 방탄한테 곡좀 써달라 했었다고??? 나만 이거 처음알음?ㅋㅋㅋㅋ내가 잘못본거겠지? 팬들이 반대해서 무산된거라며.. 와 일본애들 평생 안주거리 만들어줄뻔한 아찔한 사건이네... 아미들아 고맙다 반대해줘서 하.. "
24,요즘 광기 진짜 오지는듯 ㅇㅇ ..,"말한마디로 전자화폐 떡상/떡락
젊은 층한테 불어닥친 전례없는 투자 유행 (투기성 강함)
머니게임 참가자 갈등에 대한 과몰입 (방금도 전기 생방 38만 찍고옴 ㅋㅋ)

내 주변만 봐도 모든 사건 , 사상 , 콘텐츠가 극단적이라 미쳐버릴 거 같아... 파국을 향해 달려가는걸까

너네는 어떻게 생각하니

+추가
성별갈등 의도한거 아니니까 몰려오지마 ㅈㅂ ㅋㅋㅋㅋㅋ "
25,졸업사진 꿀팁&컨셉 추천해주라!! (๑˃̵ᴗ˂̵)و,"❌페북 인스타 퍼가지마❌

이건 이어쓰기 1회~160회까지 이어져있는 링크야!
https://m.pann.nate.com/talk/351545231

다들 본문 추천 한번씩 눌러주면 고마울거같아!
그리고 추반댓은 최대한 자제해줘ㅠㅠ 꼭 물어보고싶은게 있다면 댓글말고 답글로 추반해달라고 하는게 좋을거같아

시작!


오늘도 추천받은 주제로 글 가져와봤어! 다들 댓글 많이 달아주라❤ 그리고 혹시 보고싶은 주제 있으면 꼭 주제추천글 댓글로 적어줘! 썰푸는 글에 적으면 묻힐 확률도 높고 다른 판녀들이 댓글 보는데 방해될수도 있어서 베댓 가더라도 그 주제로는 글 안 쓸 예정이야 주제추천방 글 링크 두고갈게!! ฅ^._.^ฅ
https://m.pann.nate.com/talk/355306213
링크 안 들어가지면 '이어쓰기 주제신청방'이라고 검색하면 바로 나올거야⭐ "
