,제목,내용
5705,"도시락도, 김밥도 '포장'…'방역수장' 정은경 업무추진비 보니",감염 원천 차단 위해 포장해도 식사는 따로 
5706,"""내 번호를 지워?""…흉기로 남친 34차례 찔러 살해한 女","A씨, 경찰에 현행범으로 체포
변호인 ""심신미약 주장은 아냐"" "
5707,"TSMC의 질주·인텔의 승부수…삼성전자, 파운드리 설 자리 좁아지나","'파운드리 재진출' 인텔, 34조 규모 글로벌파운드리 인수 추진
TSMC 올 2분기 약 15조 '역대급' 매출…삼성과 격차 더 벌렸다
딜 성사 땐 TSMC·삼성·인텔 3파전…""삼성 전략적 투자 나서야"" "
5708,文대통령 “‘짧고 굵은’ 코로나 방역 중대 기로… 힘 모아달라”,"16일 SNS 통해 대국민 메시지
“답답하고 힘들겠으나 주말간 이동·만남 자제해달라”
“의료진 헌신에 깊은 감사, 백신 접종 속도 높아질 것” "
5709,"""4차 대유행 막아라""…비수도권도 사적모임 4인 제한","코로나 신규확진 1536명…이틀만에 1600명대 하회
비수도권 확진자 증가 전망…김부겸 ""비수도권도 저녁모임 제한할 수 있어"" "
5710,"가수 김장훈, 고액 기부했다가 세금 폭탄…똘똘한 기부 방법 [크리스권의 셀럽&머니]","[크리스권의 셀럽&머니 9]

연예인 기부, 사회공헌 활동 늘어나

개인 기부, 제도 개선 필요해
김장훈, 고액 기부 후 세금 부담 늘어 "
5711,인텔 34조 승부수…삼성전자 '대형 악재' 터졌다 [실리콘밸리 나우],"WSJ ""인텔이 글로벌파운드리 인수 추진""
인수대금 300억달러(약 34조원) 전망
파운드리 경쟁력 강화 포석

TSMC·삼성전자 등엔 '악재'
강력한 경쟁자 등장
파운드리 시장 경쟁 치열해질 것 "
5712,"NC 선수들, CCTV에 딱 걸렸다…새벽 4시까지 여성들과 술판","NC선수들, 여성들과 술먹다 '확진'
""야식 먹었다"" 해명했지만…
새벽 4시 넘게 이어진 술판, CCTV 담겨 "
5713,"""차는 이미 출고됐는데…"" 벤츠 전기차 구매자들 뿔났다","산업부 전기차 지정 안 된 벤츠 EQA
취득세 감면 등 세제 혜택 지원 불가
고객 혼란 가중…보조금 지급은 'OK' "
5714,"""이순신 연상 응원 떼라...안 떼면 우리가 떼겠다""","한국대표팀 선수촌 ""신에게는 아직 5천만 국민들의 응원과 지지가 남아 있사옵니다""
일본 현지 언론·네티즌 생트집 "
5715,"베일 벗는 두번째 반도체 공장...""2024년말 생산 개시""","5월 한미정상, 미국에 19조 투자하는 삼성전자
""두번째 파운드리 공장도 텍사스 유력"" "
5716,퇴짜맞은 카카오페이…공모가 하향·상장 연기 불가피,"금융감독원, 카카오페이 증권신고 정정 요청 "
5717,"""죽어야 얘기 들어주나""…연일 거리로 나온 자영업자들",손실보상·거리두기 항의 시위…국무총리실에 질의서 전달 
5718,"문대통령 ""주말이 중대 기로…이동·만남 자제 당부""","""국민께 송구한 마음…백신접종 속도 높아질 것"" "
5719,"'성소수자 축복' 목사 ""감리교, 나와 성소수자 존엄 짓밟았다""","'정직 2년' 이동환 목사 ""교단 총회 재판서 항소 기각"" 비판
향후 교회 넘어 사회법 본격 대응·교계 첫 성소수자 인권단체 구성도 "
5720,김요한 이어 한혜진·박태환·이형택 죄다 확진···방송가 초비상,"배구선수 김요한 이어 박태환 등 확진
‘리더의 연애’ 모델 한혜진도 확진돼 "
5721,"[단독]""얀센 맞은 아들 갑자기 헛소리…정신착란 추락사""",지난달 14일 백신 접종 후 이상반응 
5722,"뭐야, 1회 충전에 고작 200㎞? 벤츠 예약자들 뿔났다","실제 주행거리는 200㎞ 남짓
전기차 커뮤니티선 “실망” 반응
벤츠측 “한국 인증요건 까다로워” "
5723,정청래 “최재형은 윤석열 유인책일 뿐···결국 홍준표 걸어 나올 것”,"“윤석열, 홍준표 입 못 당한다”
“尹 지지율 견고함 없는 웅덩이형” "
5724,"도시락도, 김밥도 '포장'…'방역수장' 정은경 업무추진비 보니",감염 원천 차단 위해 포장해도 식사는 따로 
5725,"""내 번호를 지워?""…흉기로 남친 34차례 찔러 살해한 女","A씨, 경찰에 현행범으로 체포
변호인 ""심신미약 주장은 아냐"" "
5726,"TSMC의 질주·인텔의 승부수…삼성전자, 파운드리 설 자리 좁아지나","'파운드리 재진출' 인텔, 34조 규모 글로벌파운드리 인수 추진
TSMC 올 2분기 약 15조 '역대급' 매출…삼성과 격차 더 벌렸다
딜 성사 땐 TSMC·삼성·인텔 3파전…""삼성 전략적 투자 나서야"" "
5727,文대통령 “‘짧고 굵은’ 코로나 방역 중대 기로… 힘 모아달라”,"16일 SNS 통해 대국민 메시지
“답답하고 힘들겠으나 주말간 이동·만남 자제해달라”
“의료진 헌신에 깊은 감사, 백신 접종 속도 높아질 것” "
5728,"""4차 대유행 막아라""…비수도권도 사적모임 4인 제한","코로나 신규확진 1536명…이틀만에 1600명대 하회
비수도권 확진자 증가 전망…김부겸 ""비수도권도 저녁모임 제한할 수 있어"" "
5729,"가수 김장훈, 고액 기부했다가 세금 폭탄…똘똘한 기부 방법 [크리스권의 셀럽&머니]","[크리스권의 셀럽&머니 9]

연예인 기부, 사회공헌 활동 늘어나

개인 기부, 제도 개선 필요해
김장훈, 고액 기부 후 세금 부담 늘어 "
5730,인텔 34조 승부수…삼성전자 '대형 악재' 터졌다 [실리콘밸리 나우],"WSJ ""인텔이 글로벌파운드리 인수 추진""
인수대금 300억달러(약 34조원) 전망
파운드리 경쟁력 강화 포석

TSMC·삼성전자 등엔 '악재'
강력한 경쟁자 등장
파운드리 시장 경쟁 치열해질 것 "
5731,"NC 선수들, CCTV에 딱 걸렸다…새벽 4시까지 여성들과 술판","NC선수들, 여성들과 술먹다 '확진'
""야식 먹었다"" 해명했지만…
새벽 4시 넘게 이어진 술판, CCTV 담겨 "
5732,"""차는 이미 출고됐는데…"" 벤츠 전기차 구매자들 뿔났다","산업부 전기차 지정 안 된 벤츠 EQA
취득세 감면 등 세제 혜택 지원 불가
고객 혼란 가중…보조금 지급은 'OK' "
5733,"""이순신 연상 응원 떼라...안 떼면 우리가 떼겠다""","한국대표팀 선수촌 ""신에게는 아직 5천만 국민들의 응원과 지지가 남아 있사옵니다""
일본 현지 언론·네티즌 생트집 "
5734,"베일 벗는 두번째 반도체 공장...""2024년말 생산 개시""","5월 한미정상, 미국에 19조 투자하는 삼성전자
""두번째 파운드리 공장도 텍사스 유력"" "
5735,퇴짜맞은 카카오페이…공모가 하향·상장 연기 불가피,"금융감독원, 카카오페이 증권신고 정정 요청 "
5736,"""죽어야 얘기 들어주나""…연일 거리로 나온 자영업자들",손실보상·거리두기 항의 시위…국무총리실에 질의서 전달 
5737,"문대통령 ""주말이 중대 기로…이동·만남 자제 당부""","""국민께 송구한 마음…백신접종 속도 높아질 것"" "
5738,"'성소수자 축복' 목사 ""감리교, 나와 성소수자 존엄 짓밟았다""","'정직 2년' 이동환 목사 ""교단 총회 재판서 항소 기각"" 비판
향후 교회 넘어 사회법 본격 대응·교계 첫 성소수자 인권단체 구성도 "
5739,"김종인 ""윤석열·최재형, 국민의힘 입당 순간 꽃가마 끝""","최재형, 울타리 필요해 국힘 입당한듯
윤석열, 비전 못내놓으면 지지율 하락
김동연 3년 전부터 '경제대통령' 준비
이준석이 성공해야 국민의힘도 성공
이낙연이 이재명 역전? 쉽지 않을 것
이재명 태세전환? 점잖은 사이다 돼야 "
5740,"정부 ""음악속도 제한, 헬스장 아닌 GX류 운동만 적용""","태보·에어로빅 등만 대상…""현장점검 후 보완여부 결정""
QR·안심콜 없는 '사각지대' 백화점…""월말까지 시범적용""
""아랍에미리트, 격리면제 중단""…'변이유행국' 총 22개 "
5741,‘2007년 친노 분열’과 ‘2021년 친문 분열’이 다른 점,“이재명 비토? 너무 나간 이야기” 
5742,가지 끝에 열매처럼 북한산 기운 뭉친 명당에 흰 부처가,백불 옆에 영험한 약수 
5743,뇌종양 유발 돌연변이 세포 찾은 이정호 카이스트 교수,의대 본과 4학년 때 기초연구 결심 
5744,도쿄 선수촌 첫 확진자... 방역 구멍 뚫린 올림픽,"“선수촌, 적절한 환기장치도 없다” "
5745,김요한 이어 한혜진·박태환·이형택 죄다 확진···방송가 초비상,"배구선수 김요한 이어 박태환 등 확진
‘리더의 연애’ 모델 한혜진도 확진돼 "
5746,"[단독]""얀센 맞은 아들 갑자기 헛소리…정신착란 추락사""",지난달 14일 백신 접종 후 이상반응 
5747,"뭐야, 1회 충전에 고작 200㎞? 벤츠 예약자들 뿔났다","실제 주행거리는 200㎞ 남짓
전기차 커뮤니티선 “실망” 반응
벤츠측 “한국 인증요건 까다로워” "
5748,"""중요한 건 확진자가 아니라 치사율이야!""","""7월19일이면 3분의 2가 2차 접종까지 완료"" "
5749,김밥·도넛으로 때우면서도…연신 '내탓' 하는 정은경,"""책임은 방역 당국에 있다"" 사과 또 사과  "
5750,[알고보니] 성인지 예산 35조원 쓰는 여가부?,MBC 뉴스는 24시간 여러분의 제보를 기다립니다. 
5751,"""의료진들 고기 사줘라"" 정은경 '짠한 업무추진비'…폭염 속 이중고 버티는 '코로나 영웅'들","정은경 업무추진비 주로 김밥집에서 사용
폭염 속 쓰러지는 의료진도
시민들 ""김밥으로 되겠냐"" , ""고기 좀 먹었으면 좋겠다"" 응원 "
5752,"""휘발유 ℓ당 2499원"" 서울 주유소 등장…기름값 불 붙었다","전국 최고가 판매는 서울 중구에 위치한 SK에너지 주유소
휘발윳값, 당분간 상승…8월 초부터 주춤할 전망 "
5753,1인 가구세요? 3기 신도시는 못 들어가십니다,"사전청약 '내집마련의 꿈' 소외된 싱글족
올해 사전청약 물량 절반 신혼희망타운
생애최초·신혼부부 특공도 해당 안 돼 "
5754,"日 아사히, 이준석 단독 인터뷰...""선거 안해본 윤석열, 정치 미숙""","""가장 존경하는 정치인, 박정희 전 대통령""
""아직까지 일본과 정상회담 결정되지 않아 유감"" "
5755,"가수 김장훈, 고액 기부했다가 세금 폭탄…똘똘한 기부 방법 [크리스권의 셀럽&머니]","[크리스권의 셀럽&머니 9]

연예인 기부, 사회공헌 활동 늘어나

개인 기부, 제도 개선 필요해
김장훈, 고액 기부 후 세금 부담 늘어 "
5756,인텔 34조 승부수…삼성전자 '대형 악재' 터졌다 [실리콘밸리 나우],"WSJ ""인텔이 글로벌파운드리 인수 추진""
인수대금 300억달러(약 34조원) 전망
파운드리 경쟁력 강화 포석

TSMC·삼성전자 등엔 '악재'
강력한 경쟁자 등장
파운드리 시장 경쟁 치열해질 것 "
5757,"NC 선수들, CCTV에 딱 걸렸다…새벽 4시까지 여성들과 술판","NC선수들, 여성들과 술먹다 '확진'
""야식 먹었다"" 해명했지만…
새벽 4시 넘게 이어진 술판, CCTV 담겨 "
5758,"""차는 이미 출고됐는데…"" 벤츠 전기차 구매자들 뿔났다","산업부 전기차 지정 안 된 벤츠 EQA
취득세 감면 등 세제 혜택 지원 불가
고객 혼란 가중…보조금 지급은 'OK' "
5759,"김종인 ""윤석열·최재형, 국민의힘 입당 순간 꽃가마 끝""","최재형, 울타리 필요해 국힘 입당한듯
윤석열, 비전 못내놓으면 지지율 하락
김동연 3년 전부터 '경제대통령' 준비
이준석이 성공해야 국민의힘도 성공
이낙연이 이재명 역전? 쉽지 않을 것
이재명 태세전환? 점잖은 사이다 돼야 "
5760,"정부 ""음악속도 제한, 헬스장 아닌 GX류 운동만 적용""","태보·에어로빅 등만 대상…""현장점검 후 보완여부 결정""
QR·안심콜 없는 '사각지대' 백화점…""월말까지 시범적용""
""아랍에미리트, 격리면제 중단""…'변이유행국' 총 22개 "
5761,‘2007년 친노 분열’과 ‘2021년 친문 분열’이 다른 점,“이재명 비토? 너무 나간 이야기” 
5762,가지 끝에 열매처럼 북한산 기운 뭉친 명당에 흰 부처가,백불 옆에 영험한 약수 
5763,뇌종양 유발 돌연변이 세포 찾은 이정호 카이스트 교수,의대 본과 4학년 때 기초연구 결심 
5764,도쿄 선수촌 첫 확진자... 방역 구멍 뚫린 올림픽,"“선수촌, 적절한 환기장치도 없다” "
5765,김요한 이어 한혜진·박태환·이형택 죄다 확진···방송가 초비상,"배구선수 김요한 이어 박태환 등 확진
‘리더의 연애’ 모델 한혜진도 확진돼 "
5766,"[단독]""얀센 맞은 아들 갑자기 헛소리…정신착란 추락사""",지난달 14일 백신 접종 후 이상반응 
5767,"뭐야, 1회 충전에 고작 200㎞? 벤츠 예약자들 뿔났다","실제 주행거리는 200㎞ 남짓
전기차 커뮤니티선 “실망” 반응
벤츠측 “한국 인증요건 까다로워” "
5768,"""중요한 건 확진자가 아니라 치사율이야!""","""7월19일이면 3분의 2가 2차 접종까지 완료"" "
5769,김밥·도넛으로 때우면서도…연신 '내탓' 하는 정은경,"""책임은 방역 당국에 있다"" 사과 또 사과  "
5770,[알고보니] 성인지 예산 35조원 쓰는 여가부?,MBC 뉴스는 24시간 여러분의 제보를 기다립니다. 
5771,"""의료진들 고기 사줘라"" 정은경 '짠한 업무추진비'…폭염 속 이중고 버티는 '코로나 영웅'들","정은경 업무추진비 주로 김밥집에서 사용
폭염 속 쓰러지는 의료진도
시민들 ""김밥으로 되겠냐"" , ""고기 좀 먹었으면 좋겠다"" 응원 "
5772,"""휘발유 ℓ당 2499원"" 서울 주유소 등장…기름값 불 붙었다","전국 최고가 판매는 서울 중구에 위치한 SK에너지 주유소
휘발윳값, 당분간 상승…8월 초부터 주춤할 전망 "
5773,1인 가구세요? 3기 신도시는 못 들어가십니다,"사전청약 '내집마련의 꿈' 소외된 싱글족
올해 사전청약 물량 절반 신혼희망타운
생애최초·신혼부부 특공도 해당 안 돼 "
5774,"日 아사히, 이준석 단독 인터뷰...""선거 안해본 윤석열, 정치 미숙""","""가장 존경하는 정치인, 박정희 전 대통령""
""아직까지 일본과 정상회담 결정되지 않아 유감"" "
5775,"가수 김장훈, 고액 기부했다가 세금 폭탄…똘똘한 기부 방법 [크리스권의 셀럽&머니]","[크리스권의 셀럽&머니 9]

연예인 기부, 사회공헌 활동 늘어나

개인 기부, 제도 개선 필요해
김장훈, 고액 기부 후 세금 부담 늘어 "
5776,인텔 34조 승부수…삼성전자 '대형 악재' 터졌다 [실리콘밸리 나우],"WSJ ""인텔이 글로벌파운드리 인수 추진""
인수대금 300억달러(약 34조원) 전망
파운드리 경쟁력 강화 포석

TSMC·삼성전자 등엔 '악재'
강력한 경쟁자 등장
파운드리 시장 경쟁 치열해질 것 "
5777,"NC 선수들, CCTV에 딱 걸렸다…새벽 4시까지 여성들과 술판","NC선수들, 여성들과 술먹다 '확진'
""야식 먹었다"" 해명했지만…
새벽 4시 넘게 이어진 술판, CCTV 담겨 "
5778,"""차는 이미 출고됐는데…"" 벤츠 전기차 구매자들 뿔났다","산업부 전기차 지정 안 된 벤츠 EQA
취득세 감면 등 세제 혜택 지원 불가
고객 혼란 가중…보조금 지급은 'OK' "
5779,"김종인 ""윤석열·최재형, 국민의힘 입당 순간 꽃가마 끝""","최재형, 울타리 필요해 국힘 입당한듯
윤석열, 비전 못내놓으면 지지율 하락
김동연 3년 전부터 '경제대통령' 준비
이준석이 성공해야 국민의힘도 성공
이낙연이 이재명 역전? 쉽지 않을 것
이재명 태세전환? 점잖은 사이다 돼야 "
5780,"정부 ""음악속도 제한, 헬스장 아닌 GX류 운동만 적용""","태보·에어로빅 등만 대상…""현장점검 후 보완여부 결정""
QR·안심콜 없는 '사각지대' 백화점…""월말까지 시범적용""
""아랍에미리트, 격리면제 중단""…'변이유행국' 총 22개 "
5781,‘2007년 친노 분열’과 ‘2021년 친문 분열’이 다른 점,“이재명 비토? 너무 나간 이야기” 
5782,가지 끝에 열매처럼 북한산 기운 뭉친 명당에 흰 부처가,백불 옆에 영험한 약수 
5783,뇌종양 유발 돌연변이 세포 찾은 이정호 카이스트 교수,의대 본과 4학년 때 기초연구 결심 
5784,도쿄 선수촌 첫 확진자... 방역 구멍 뚫린 올림픽,"“선수촌, 적절한 환기장치도 없다” "
5785,김요한 이어 한혜진·박태환·이형택 죄다 확진···방송가 초비상,"배구선수 김요한 이어 박태환 등 확진
‘리더의 연애’ 모델 한혜진도 확진돼 "
5786,"[단독]""얀센 맞은 아들 갑자기 헛소리…정신착란 추락사""",지난달 14일 백신 접종 후 이상반응 
5787,"뭐야, 1회 충전에 고작 200㎞? 벤츠 예약자들 뿔났다","실제 주행거리는 200㎞ 남짓
전기차 커뮤니티선 “실망” 반응
벤츠측 “한국 인증요건 까다로워” "
5788,"""중요한 건 확진자가 아니라 치사율이야!""","""7월19일이면 3분의 2가 2차 접종까지 완료"" "
5789,김밥·도넛으로 때우면서도…연신 '내탓' 하는 정은경,"""책임은 방역 당국에 있다"" 사과 또 사과  "
5790,[알고보니] 성인지 예산 35조원 쓰는 여가부?,MBC 뉴스는 24시간 여러분의 제보를 기다립니다. 
5791,"""의료진들 고기 사줘라"" 정은경 '짠한 업무추진비'…폭염 속 이중고 버티는 '코로나 영웅'들","정은경 업무추진비 주로 김밥집에서 사용
폭염 속 쓰러지는 의료진도
시민들 ""김밥으로 되겠냐"" , ""고기 좀 먹었으면 좋겠다"" 응원 "
5792,"""휘발유 ℓ당 2499원"" 서울 주유소 등장…기름값 불 붙었다","전국 최고가 판매는 서울 중구에 위치한 SK에너지 주유소
휘발윳값, 당분간 상승…8월 초부터 주춤할 전망 "
5793,1인 가구세요? 3기 신도시는 못 들어가십니다,"사전청약 '내집마련의 꿈' 소외된 싱글족
올해 사전청약 물량 절반 신혼희망타운
생애최초·신혼부부 특공도 해당 안 돼 "
5794,"日 아사히, 이준석 단독 인터뷰...""선거 안해본 윤석열, 정치 미숙""","""가장 존경하는 정치인, 박정희 전 대통령""
""아직까지 일본과 정상회담 결정되지 않아 유감"" "
5795,"가수 김장훈, 고액 기부했다가 세금 폭탄…똘똘한 기부 방법 [크리스권의 셀럽&머니]","[크리스권의 셀럽&머니 9]

연예인 기부, 사회공헌 활동 늘어나

개인 기부, 제도 개선 필요해
김장훈, 고액 기부 후 세금 부담 늘어 "
5796,인텔 34조 승부수…삼성전자 '대형 악재' 터졌다 [실리콘밸리 나우],"WSJ ""인텔이 글로벌파운드리 인수 추진""
인수대금 300억달러(약 34조원) 전망
파운드리 경쟁력 강화 포석

TSMC·삼성전자 등엔 '악재'
강력한 경쟁자 등장
파운드리 시장 경쟁 치열해질 것 "
5797,"NC 선수들, CCTV에 딱 걸렸다…새벽 4시까지 여성들과 술판","NC선수들, 여성들과 술먹다 '확진'
""야식 먹었다"" 해명했지만…
새벽 4시 넘게 이어진 술판, CCTV 담겨 "
5798,"""차는 이미 출고됐는데…"" 벤츠 전기차 구매자들 뿔났다","산업부 전기차 지정 안 된 벤츠 EQA
취득세 감면 등 세제 혜택 지원 불가
고객 혼란 가중…보조금 지급은 'OK' "
5799,"中 코로나 백신 ‘시노백’, 진짜 물백신인가…“화이자 항체, 시노백보다 10배 많아”","홍콩대 연구진, 의료진 1400여명 조사
“항체, 회복 환자와 유사하거나 적어” "
5800,"‘백신 예약 大戰’…2030 ‘점심 광클’, 50대는 고생 끝에 성공 [촉!]","2030, 점심시간 내내 ‘잔여백신 신청’ 시도
“계속 이 상태…오류 아니냐” 문의도
50대, ‘새벽 쪽잠’ 끝 잇단 예약 성공 "
5801,"서울시 ""백화점 종사자 12만8000명 코로나 검사 행정명령""",서울소재 백화점 32곳 운영자 및 종사자 전원 
5802,"신치용 선수촌장 ""선수들 결국 후쿠시마산 음식 먹을 수밖에""","신치용 진천선수촌장 YTN·TBS 라디오 인터뷰
""영양사 등 20명 선수촌 바깥에서 도시락·간식 준비""
""기본 식재료 한국에서 가져 가지만 채소 등은 빠져"" "
5803,'터질 게 터졌다' 김요한·박태환 등 집단 감염… 방송가 '비상',"'뭉쳐야찬다2' 16일 기준 출연자 5명 확진
한혜진 확진... SBS '골 때리는 그녀들'도 비상
감염병 취약환 환경 '터질 게 터졌다' 반응 "
5804,"[단독] '개헌론' 승부수 띄운 김동연… ""다음 대통령, 임기 절반 줄인다는 각오로""",새 책에서 '분권형 대통령제' 소신 거듭 피력 
5805,"김종인의 촉 ""국민의힘 경선 버스 최재형이 끝...윤석열은 안 탈 것""","김종인 전 국민의힘 비상대책위원장의 관전평
""정당은 바깥에 근사한 사람 있으면 욕심을 내다가
일단 데려오고 나면 책임을 지지 않는 곳"" "
5806,"김종인 ""윤석열·최재형, 국민의힘 입당 순간 꽃가마 끝""","최재형, 울타리 필요해 국힘 입당한듯
윤석열, 비전 못내놓으면 지지율 하락
김동연 3년 전부터 '경제대통령' 준비
이준석이 성공해야 국민의힘도 성공
이낙연이 이재명 역전? 쉽지 않을 것
이재명 태세전환? 점잖은 사이다 돼야 "
5807,"정부 ""음악속도 제한, 헬스장 아닌 GX류 운동만 적용""","태보·에어로빅 등만 대상…""현장점검 후 보완여부 결정""
QR·안심콜 없는 '사각지대' 백화점…""월말까지 시범적용""
""아랍에미리트, 격리면제 중단""…'변이유행국' 총 22개 "
5808,[알고보니] 성인지 예산 35조원 쓰는 여가부?,MBC 뉴스는 24시간 여러분의 제보를 기다립니다. 
5809,정청래 “최재형은 윤석열 유인책일 뿐···결국 홍준표 걸어 나올 것”,"“윤석열, 홍준표 입 못 당한다”
“尹 지지율 견고함 없는 웅덩이형” "
5810,동생 살해 뒤…석연찮은 부모의 죽음과 화재 [취재파일],"남은 의혹들, 서울경찰청 미제사건수사팀이 검토 "
5811,[초대석] 국내 유일 '복싱 세계챔피언' 최현미,"최현미 선수, 통합 타이틀 챔피언 향한 새로운 도전 "
5812,"“호텔밥 드셔도 되는데” 도넛, 김밥 포장만…짠한 정은경 업무추진비","네티즌들 “고단함이 느껴진다” 안쓰럽단 반응
“맛있는 것 좀 사드시라” 응원 목소리 이어져 "
5813,"“확진자 급증, 이제 의미 없다” 영국 봉쇄해제 실험 강행","4만명대 급증에도 봉쇄 완전 해제
전문가들 “처참한 결과 초래할 것”
이스라엘은 마스크 착용 등 강화 "
5814,9억 쓴 자가검사키트… 4차 대유행 고개숙인 오세훈,"‘깜깜이 확산’ 원인으로 지목받아
정무부시장 돌출발언에 “부적절” "
5815,‘16살 연하남 잔혹 살해’ 30대女 “유족과 합의할 시간 달라”,"변호인 “피고인, 범행 사실 모두 인정” "
5816,“3살 아들이 충치 치료하다 급사”…美치과에서 생긴 사건,경찰 “약물 알레르기 의심” 
5817,“반발 불 보듯 뻔한데”…통장들에 ‘백신접종 지원비’ 10만~30만원씩 지급 논란,"부산·대구·인천 등은 10만원, 목포는 30만원 지원했다가 ‘눈총’
이미 수당·회의비 받고 있어…서울 등 상당수 지자체는 망설여
“재난 때 쓸 안전기금에서 통장 활동비 덜어주다니” 비판 목소리 "
5818,오세훈 “서울 방역 총책임자로 죄송…부시장 돌출발언 사과”,"취임 100일 브리핑서 사과하면서도 ‘독자 방역 없었다’며 뒤끝 보여
김도식 부시장 발언 놓고도 “부적절한 언행, 강하게 질책” 거듭 사과 "
5819,‘미래정치’ 한다며 생가 안 갔던 이준석 “박정희 가장 존경”,"‘차차기 대선 출마’ 가능성엔 “서두를 생각은 없어”
윤석열에 대해선 “선거 치르지 못해 미숙한 부분 많아” "
5820,"올림픽, 감염자와 ‘밀접접촉’해도 경기 6시간 전 음성이면 출전","일본 정부 등 방침 결정
매일 검사·1인실 생활 등 지켜야 "
5821,"中 코로나 백신 ‘시노백’, 진짜 물백신인가…“화이자 항체, 시노백보다 10배 많아”","홍콩대 연구진, 의료진 1400여명 조사
“항체, 회복 환자와 유사하거나 적어” "
5822,"‘백신 예약 大戰’…2030 ‘점심 광클’, 50대는 고생 끝에 성공 [촉!]","2030, 점심시간 내내 ‘잔여백신 신청’ 시도
“계속 이 상태…오류 아니냐” 문의도
50대, ‘새벽 쪽잠’ 끝 잇단 예약 성공 "
5823,"서울시 ""백화점 종사자 12만8000명 코로나 검사 행정명령""",서울소재 백화점 32곳 운영자 및 종사자 전원 
5824,"신치용 선수촌장 ""선수들 결국 후쿠시마산 음식 먹을 수밖에""","신치용 진천선수촌장 YTN·TBS 라디오 인터뷰
""영양사 등 20명 선수촌 바깥에서 도시락·간식 준비""
""기본 식재료 한국에서 가져 가지만 채소 등은 빠져"" "
5825,'터질 게 터졌다' 김요한·박태환 등 집단 감염… 방송가 '비상',"'뭉쳐야찬다2' 16일 기준 출연자 5명 확진
한혜진 확진... SBS '골 때리는 그녀들'도 비상
감염병 취약환 환경 '터질 게 터졌다' 반응 "
5826,"[단독] '개헌론' 승부수 띄운 김동연… ""다음 대통령, 임기 절반 줄인다는 각오로""",새 책에서 '분권형 대통령제' 소신 거듭 피력 
5827,"김종인의 촉 ""국민의힘 경선 버스 최재형이 끝...윤석열은 안 탈 것""","김종인 전 국민의힘 비상대책위원장의 관전평
""정당은 바깥에 근사한 사람 있으면 욕심을 내다가
일단 데려오고 나면 책임을 지지 않는 곳"" "
5828,"김종인 ""윤석열·최재형, 국민의힘 입당 순간 꽃가마 끝""","최재형, 울타리 필요해 국힘 입당한듯
윤석열, 비전 못내놓으면 지지율 하락
김동연 3년 전부터 '경제대통령' 준비
이준석이 성공해야 국민의힘도 성공
이낙연이 이재명 역전? 쉽지 않을 것
이재명 태세전환? 점잖은 사이다 돼야 "
5829,"정부 ""음악속도 제한, 헬스장 아닌 GX류 운동만 적용""","태보·에어로빅 등만 대상…""현장점검 후 보완여부 결정""
QR·안심콜 없는 '사각지대' 백화점…""월말까지 시범적용""
""아랍에미리트, 격리면제 중단""…'변이유행국' 총 22개 "
5830,[알고보니] 성인지 예산 35조원 쓰는 여가부?,MBC 뉴스는 24시간 여러분의 제보를 기다립니다. 
5831,정청래 “최재형은 윤석열 유인책일 뿐···결국 홍준표 걸어 나올 것”,"“윤석열, 홍준표 입 못 당한다”
“尹 지지율 견고함 없는 웅덩이형” "
5832,동생 살해 뒤…석연찮은 부모의 죽음과 화재 [취재파일],"남은 의혹들, 서울경찰청 미제사건수사팀이 검토 "
5833,[초대석] 국내 유일 '복싱 세계챔피언' 최현미,"최현미 선수, 통합 타이틀 챔피언 향한 새로운 도전 "
5834,"“호텔밥 드셔도 되는데” 도넛, 김밥 포장만…짠한 정은경 업무추진비","네티즌들 “고단함이 느껴진다” 안쓰럽단 반응
“맛있는 것 좀 사드시라” 응원 목소리 이어져 "
5835,"“확진자 급증, 이제 의미 없다” 영국 봉쇄해제 실험 강행","4만명대 급증에도 봉쇄 완전 해제
전문가들 “처참한 결과 초래할 것”
이스라엘은 마스크 착용 등 강화 "
5836,9억 쓴 자가검사키트… 4차 대유행 고개숙인 오세훈,"‘깜깜이 확산’ 원인으로 지목받아
정무부시장 돌출발언에 “부적절” "
5837,‘16살 연하남 잔혹 살해’ 30대女 “유족과 합의할 시간 달라”,"변호인 “피고인, 범행 사실 모두 인정” "
5838,“3살 아들이 충치 치료하다 급사”…美치과에서 생긴 사건,경찰 “약물 알레르기 의심” 
5839,“반발 불 보듯 뻔한데”…통장들에 ‘백신접종 지원비’ 10만~30만원씩 지급 논란,"부산·대구·인천 등은 10만원, 목포는 30만원 지원했다가 ‘눈총’
이미 수당·회의비 받고 있어…서울 등 상당수 지자체는 망설여
“재난 때 쓸 안전기금에서 통장 활동비 덜어주다니” 비판 목소리 "
5840,오세훈 “서울 방역 총책임자로 죄송…부시장 돌출발언 사과”,"취임 100일 브리핑서 사과하면서도 ‘독자 방역 없었다’며 뒤끝 보여
김도식 부시장 발언 놓고도 “부적절한 언행, 강하게 질책” 거듭 사과 "
5841,‘미래정치’ 한다며 생가 안 갔던 이준석 “박정희 가장 존경”,"‘차차기 대선 출마’ 가능성엔 “서두를 생각은 없어”
윤석열에 대해선 “선거 치르지 못해 미숙한 부분 많아” "
5842,"올림픽, 감염자와 ‘밀접접촉’해도 경기 6시간 전 음성이면 출전","일본 정부 등 방침 결정
매일 검사·1인실 생활 등 지켜야 "
